source_rows,repetitions,wall_clock_seconds_median,wall_clock_seconds_mean,wall_clock_seconds_std,wall_clock_seconds_cv_percent,source_rows_per_second_median,source_rows_per_second_mean,source_rows_per_second_std,source_rows_per_second_cv_percent,peak_memory_mb_median,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_cv_percent,setup_write_seconds_median,setup_write_seconds_mean,setup_write_seconds_std,setup_write_seconds_cv_percent,read_seconds_median,read_seconds_mean,read_seconds_std,read_seconds_cv_percent,transform_seconds_median,transform_seconds_mean,transform_seconds_std,transform_seconds_cv_percent,write_seconds_median,write_seconds_mean,write_seconds_std,write_seconds_cv_percent
100000,3,4.800356,4.882653,0.176710,3.619133,20831.788166,20498.221730,727.504409,3.549110,214.246094,214.324219,0.640303,0.298755,0.050048,0.057715,0.013924,24.125811,0.334940,0.338239,0.017146,5.069202,0.131087,0.130273,0.001726,1.324857,4.249984,4.339468,0.185543,4.275706
1000000,3,49.654133,48.323226,2.608714,5.398469,20139.310472,20735.541246,1154.752566,5.568953,387.910156,385.242188,5.855953,1.520071,0.043702,0.050102,0.011414,22.782350,3.444212,3.346198,0.174091,5.202651,3.772177,3.716239,0.204445,5.501393,42.338917,41.183215,2.225325,5.403477
